,Avg Temperature,Accident Count,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Predicted
2022-01-15,4.19,16,0,0,0,0,0,1,0,14.082304017539776
2022-01-14,3.3,9,0,0,0,0,1,0,0,20.63107719446007
2022-01-13,4.05,15,0,0,0,1,0,0,0,18.41996531769513
2022-01-12,4.8,9,0,0,1,0,0,0,0,18.802914729564147
2022-01-11,1.95,21,0,1,0,0,0,0,0,18.864184878321417
2022-01-10,1.0,23,1,0,0,0,0,0,0,17.299190321337846
2022-01-09,-10.35,10,0,0,0,0,0,0,1,13.741897937490801
2022-01-08,-19.25,15,0,0,0,0,0,1,0,19.21803590829761
2022-01-07,-23.25,21,0,0,0,0,1,0,0,26.448213785740805
2022-01-06,-26.54,16,0,0,0,1,0,0,0,25.122270716086007
2022-01-05,-26.35,36,0,0,1,0,0,0,0,25.62791679428712
2022-01-04,-26.7,37,0,1,0,0,0,0,0,25.141433968347524
2022-01-03,-19.95,24,1,0,0,0,0,0,0,21.8893602492976
2022-01-02,-6.7,8,0,0,0,0,0,0,1,12.942178594433374
2022-01-01,-12.8,12,0,0,0,0,0,1,0,17.804833233579693
2021-12-31,-23.6,22,0,0,0,0,1,0,0,26.52489920219837
2021-12-30,-19.75,34,0,0,0,1,0,0,0,23.63457363680931
2021-12-29,-23.7,31,0,0,1,0,0,0,0,25.04729864110844
2021-12-28,-22.79,40,0,1,0,0,0,0,0,24.28474831592162
2021-12-27,-30.45,32,1,0,0,0,0,0,0,24.189922743024447
2021-12-26,-28.6,33,0,0,0,0,0,0,1,17.740494652777937
2021-12-25,-25.45,8,0,0,0,0,0,1,0,20.576463285545845
2021-12-24,-21.0,51,0,0,0,0,1,0,0,25.955236108513624
2021-12-23,-8.25,27,0,0,0,1,0,0,0,21.114909953203718
2021-12-22,-3.2,24,0,0,1,0,0,0,0,20.555724248594125
2021-12-21,-8.5,24,0,1,0,0,0,0,0,21.153792312554327
2021-12-20,-17.5,43,1,0,0,0,0,0,0,21.352562334094667
2021-12-19,-11.75,13,0,0,0,0,0,0,1,14.048639603321048
2021-12-18,-9.19,21,0,0,0,0,0,1,0,17.013877938117414
2021-12-17,-20.1,65,0,0,0,0,1,0,0,25.758045037622754
2021-12-16,-17.64,53,0,0,0,1,0,0,0,23.172270126165156
2021-12-15,-18.8,39,0,0,1,0,0,0,0,23.97370281070258
2021-12-14,-15.95,36,0,1,0,0,0,0,0,22.78609617715099
2021-12-13,-10.05,31,1,0,0,0,0,0,0,19.720258469498003
2021-12-12,-4.95,12,0,0,0,0,0,0,1,12.558751512145566
2021-12-11,-1.45,24,0,0,0,0,0,1,0,15.31803472845591
2021-12-10,-5.5,31,0,0,0,0,1,0,0,22.559167665393044
2021-12-09,-5.69,21,0,0,0,1,0,0,0,20.554010907114126
2021-12-08,0.04,31,0,0,1,0,0,0,0,19.845836393386982
2021-12-07,-7.45,32,0,1,0,0,0,0,0,20.923736063181643
2021-12-06,-11.6,38,1,0,0,0,0,0,0,20.05986531381006
2021-12-05,-12.35,19,0,0,0,0,0,0,1,14.180100317248296
2021-12-04,-5.6,23,0,0,0,0,0,1,0,16.22730466645271
2021-12-03,-4.65,28,0,0,0,0,1,0,0,22.37293165399611
2021-12-02,-1.1,18,0,0,0,1,0,0,0,19.548336445570676
2021-12-01,6.45,21,0,0,1,0,0,0,0,18.441397766264213
2021-11-30,4.45,21,0,1,0,0,0,0,0,18.31643190362455
2021-11-29,4.7,16,1,0,0,0,0,0,0,16.48851591878648
2021-11-28,5.05,18,0,0,0,0,0,0,1,10.367739613358093
2021-11-27,-0.8,31,0,0,0,0,0,1,0,15.175618955034725
2021-11-26,4.3,23,0,0,0,0,1,0,0,20.41197600458132
2021-11-25,6.45,22,0,0,0,1,0,0,0,17.894122461986136
2021-11-24,-3.59,29,0,0,1,0,0,0,0,20.641173712646836
2021-11-23,-1.15,23,0,1,0,0,0,0,0,19.543398566945534
2021-11-22,7.5,30,1,0,0,0,0,0,0,15.875032587125988
2021-11-21,-1.09,11,0,0,0,0,0,0,1,11.713020919213601
2021-11-20,-1.59,13,0,0,0,0,0,1,0,15.348708895038936
2021-11-19,-2.15,37,0,0,0,0,1,0,0,21.82517867929924
2021-11-18,-1.14,21,0,0,0,1,0,0,0,19.557100493165827
2021-11-17,-5.2,28,0,0,1,0,0,0,0,20.993926628351616
2021-11-16,-0.6,17,0,1,0,0,0,0,0,19.42289291251222
2021-11-15,3.3,18,1,0,0,0,0,0,0,16.795257584616728
2021-11-14,4.8,6,0,0,0,0,0,0,1,10.42251491082778
2021-11-13,3.45,18,0,0,0,0,0,1,0,14.24443889805005
2021-11-12,5.9,29,0,0,0,0,1,0,0,20.061414100775323
2021-11-11,-1.0,18,0,0,0,1,0,0,0,19.5264263265828
2021-11-10,2.7,25,0,0,1,0,0,0,0,19.263027228309515
2021-11-09,0.44,24,0,1,0,0,0,0,0,19.195027675038325
2021-11-08,1.8,28,1,0,0,0,0,0,0,17.12390936943485
2021-11-07,0.55,8,0,0,0,0,0,0,1,11.353694967812457
2021-11-06,2.49,17,0,0,0,0,0,1,0,14.454776040333646
2021-11-05,6.55,30,0,0,0,0,1,0,0,19.91899832735414
2021-11-04,7.85,22,0,0,0,1,0,0,0,17.58738079615589
2021-11-03,5.8,26,0,0,1,0,0,0,0,18.583813539685398
2021-11-02,3.2,28,0,1,0,0,0,0,0,18.590308390972982
2021-11-01,-5.85,19,1,0,0,0,0,0,0,18.800033472007264
2021-10-31,-3.84,20,0,0,0,0,0,0,1,12.315549191380157
2021-10-30,-2.1,27,0,0,0,0,0,1,0,15.460450501877096
2021-10-29,1.14,29,0,0,0,0,1,0,0,21.10433576459816
2021-10-28,4.4,25,0,0,0,1,0,0,0,18.343279901237565
2021-10-27,6.0,24,0,0,1,0,0,0,0,18.53999330170965
2021-10-26,6.25,26,0,1,0,0,0,0,0,17.922049761842803
2021-10-25,7.95,17,1,0,0,0,0,0,0,15.776437051680551
2021-10-24,3.75,16,0,0,0,0,0,0,1,10.652571160200466
2021-10-23,5.65,31,0,0,0,0,0,1,0,13.762416280316804
2021-10-22,7.0,11,0,0,0,0,1,0,0,19.820402791908702
2021-10-21,9.35,25,0,0,0,1,0,0,0,17.258729011337767
2021-10-20,3.85,20,0,0,1,0,0,0,0,19.011060859948955
2021-10-19,5.7,21,0,1,0,0,0,0,0,18.042555416276116
2021-10-18,3.34,14,1,0,0,0,0,0,0,16.786493537021578
2021-10-17,11.85,7,0,0,0,0,0,0,1,8.877851522182613
2021-10-16,12.45,27,0,0,0,0,0,1,0,12.272528189141324
2021-10-15,6.1,18,0,0,0,0,1,0,0,20.017593862799576
2021-10-14,3.0,17,0,0,0,1,0,0,0,18.650021567067814
2021-10-13,-0.6,18,0,0,1,0,0,0,0,19.98606115490938
2021-10-12,1.94,21,0,1,0,0,0,0,0,18.866375890220205
2021-10-11,0.95,6,1,0,0,0,0,0,0,17.31014538083178
2021-10-10,7.4,9,0,0,0,0,0,0,1,9.852851817143039
2021-10-09,7.75,15,0,0,0,0,0,1,0,13.302303781571435
2021-10-08,4.84,30,0,0,0,0,1,0,0,20.293661362046798
2021-10-07,5.45,22,0,0,0,1,0,0,0,18.11322365186488
2021-10-06,7.69,24,0,0,1,0,0,0,0,18.169712290814566
2021-10-05,13.25,20,0,1,0,0,0,0,0,16.388341432691576
2021-10-04,6.65,16,1,0,0,0,0,0,0,16.061268598522922
2021-10-03,12.25,15,0,0,0,0,0,0,1,8.790211046231114
2021-10-02,9.4,13,0,0,0,0,0,1,0,12.940786818271503
2021-10-01,11.64,27,0,0,0,0,1,0,0,18.803773270871314
2021-09-30,13.65,25,0,0,0,1,0,0,0,16.316593894859157
2021-09-29,9.54,42,0,0,1,0,0,0,0,17.764375089538884
2021-09-28,12.15,20,0,1,0,0,0,0,0,16.629352741558197
2021-09-27,15.35,17,1,0,0,0,0,0,0,14.155088246577822
2021-09-26,16.95,12,0,0,0,0,0,0,1,7.760435453801002
2021-09-25,15.55,20,0,0,0,0,0,1,0,11.593314500517208
2021-09-24,14.25,17,0,0,0,0,1,0,0,18.231919165287785
2021-09-23,9.6,32,0,0,0,1,0,0,0,17.20395371386808
2021-09-22,14.14,29,0,0,1,0,0,0,0,16.756509616096647
2021-09-21,14.2,25,0,1,0,0,0,0,0,16.180195302306764
2021-09-20,9.5,21,1,0,0,0,0,0,0,15.436830207368494
2021-09-19,10.45,12,0,0,0,0,0,0,1,9.18459318801286
2021-09-18,17.25,17,0,0,0,0,0,1,0,11.220842477723338
2021-09-17,10.55,15,0,0,0,0,1,0,0,19.04259356783915
2021-09-16,8.9,26,0,0,0,1,0,0,0,17.357324546783204
2021-09-15,9.5,20,0,0,1,0,0,0,0,17.773139137134034
2021-09-14,12.6,19,0,1,0,0,0,0,0,16.53075720611276
2021-09-13,12.1,20,1,0,0,0,0,0,0,14.86716711368375
2021-09-12,12.65,10,0,0,0,0,0,0,1,8.702570570279615
2021-09-11,12.55,13,0,0,0,0,0,1,0,12.250618070153449
2021-09-10,14.4,19,0,0,0,0,1,0,0,18.199053986805975
2021-09-09,18.1,15,0,0,0,1,0,0,0,15.34159359989873
2021-09-08,15.85,25,0,0,1,0,0,0,0,16.381846581403988
2021-09-07,14.85,26,0,1,0,0,0,0,0,16.03777952888558
2021-09-06,16.2,15,1,0,0,0,0,0,0,13.968852235180888
2021-09-05,19.95,21,0,0,0,0,0,0,1,7.10313188416476
2021-09-04,15.0,16,0,0,0,0,0,1,0,11.713820154950518
2021-09-03,13.2,14,0,0,0,0,1,0,0,18.46197541466047
2021-09-02,11.55,17,0,0,0,1,0,0,0,16.776706393604524
2021-09-01,10.9,22,0,0,1,0,0,0,0,17.466397471303786
2021-08-31,13.05,28,0,1,0,0,0,0,0,16.432161670667323
2021-08-30,16.55,17,1,0,0,0,0,0,0,13.892166818723325
2021-08-29,16.39,11,0,0,0,0,0,0,1,7.883132120133101
2021-08-28,14.39,17,0,0,0,0,0,1,0,11.847471880776554
2021-08-27,15.45,11,0,0,0,0,1,0,0,17.968997737433288
2021-08-26,14.7,25,0,0,0,1,0,0,0,16.08653764548647
2021-08-25,12.75,22,0,0,1,0,0,0,0,17.061060270028104
2021-08-24,11.64,20,0,1,0,0,0,0,0,16.741094348396356
2021-08-23,10.0,25,1,0,0,0,0,0,0,15.32727961242912
2021-08-22,14.45,14,0,0,0,0,0,0,1,8.30818842849787
2021-08-21,12.95,21,0,0,0,0,0,1,0,12.162977594201951
2021-08-20,14.5,22,0,0,0,0,1,0,0,18.1771438678181
2021-08-19,11.45,19,0,0,0,1,0,0,0,16.7986165125924
2021-08-18,12.85,21,0,0,1,0,0,0,0,17.039150151040232
2021-08-17,10.3,17,0,1,0,0,0,0,0,17.03468994283388
2021-08-16,15.65,25,1,0,0,0,0,0,0,14.089357889614199
2021-08-15,23.4,7,0,0,0,0,0,0,1,6.347232779083083
2021-08-14,23.35,16,0,0,0,0,0,1,0,9.88432521946298
2021-08-13,21.75,23,0,0,0,0,1,0,0,16.588660241197182
2021-08-12,19.89,18,0,0,0,1,0,0,0,14.949402470015773
2021-08-11,18.25,24,0,0,1,0,0,0,0,15.856003725694995
2021-08-10,17.8,23,0,1,0,0,0,0,0,15.391431018743274
2021-08-09,18.2,21,1,0,0,0,0,0,0,13.530649855423393
2021-08-08,14.8,13,0,0,0,0,0,0,1,8.231503012040308
2021-08-07,20.0,5,0,0,0,0,0,1,0,10.618314205556782
2021-08-06,22.75,22,0,0,0,0,1,0,0,16.369559051318433
2021-08-05,22.05,19,0,0,0,1,0,0,0,14.476143899877679
2021-08-04,20.95,15,0,0,1,0,0,0,0,15.264430513022377
2021-08-03,24.95,19,0,1,0,0,0,0,0,13.824857511110231
2021-08-02,22.45,10,1,0,0,0,0,0,0,12.599469798438717
2021-08-01,23.85,16,0,0,0,0,0,0,1,6.2486372436376465
2021-07-31,22.5,10,0,0,0,0,0,1,0,10.070561230859914
2021-07-30,22.2,22,0,0,0,0,1,0,0,16.490064705751745
2021-07-29,21.79,14,0,0,0,1,0,0,0,14.533110209246153
2021-07-28,19.7,20,0,0,1,0,0,0,0,15.538307000370812
2021-07-27,18.35,19,0,1,0,0,0,0,0,15.270925364309964
2021-07-26,18.64,20,1,0,0,0,0,0,0,13.434245331876744
2021-07-25,18.45,6,0,0,0,0,0,0,1,7.431783668982882
2021-07-24,18.8,16,0,0,0,0,0,1,0,10.88123563341128
2021-07-23,18.2,25,0,0,0,0,1,0,0,17.366469465266736
2021-07-22,17.85,15,0,0,0,1,0,0,0,15.396368897368417
2021-07-21,21.6,21,0,0,1,0,0,0,0,15.122014739601193
2021-07-20,19.14,20,0,1,0,0,0,0,0,15.097835424305753
2021-07-19,18.39,15,1,0,0,0,0,0,0,13.489020629346431
2021-07-18,16.85,10,0,0,0,0,0,0,1,7.782345572788877
2021-07-17,17.8,15,0,0,0,0,0,1,0,11.100336823290027
2021-07-16,21.45,22,0,0,0,0,1,0,0,16.654390598160806
2021-07-15,21.4,23,0,0,0,1,0,0,0,14.618559673298865
2021-07-14,22.3,22,0,0,1,0,0,0,0,14.968643906686069
2021-07-13,19.89,24,0,1,0,0,0,0,0,14.933509531896693
2021-07-12,18.2,22,1,0,0,0,0,0,0,13.530649855423393
2021-07-11,18.35,8,0,0,0,0,0,0,1,7.453693787970756
2021-07-10,22.79,15,0,0,0,0,0,1,0,10.007021885795078
2021-07-09,20.2,31,0,0,0,0,1,0,0,16.92826708550924
2021-07-08,19.95,25,0,0,0,1,0,0,0,14.936256398623048
2021-07-07,18.75,29,0,0,1,0,0,0,0,15.746453130755622
2021-07-06,18.8,17,0,1,0,0,0,0,0,15.172329828864527
2021-07-05,15.5,24,1,0,0,0,0,0,0,14.12222306809601
2021-07-04,16.2,14,0,0,0,0,0,0,1,7.924761346210063
2021-07-03,20.6,11,0,0,0,0,0,1,0,10.486853491629534
2021-07-02,22.7,25,0,0,0,0,1,0,0,16.38051411081237
2021-07-01,27.04,10,0,0,0,1,0,0,0,13.38282896238273
2021-06-30,27.04,31,0,0,1,0,0,0,0,13.930104266660807
2021-06-29,27.29,18,0,1,0,0,0,0,0,13.312160726793964
2021-06-28,25.45,19,1,0,0,0,0,0,0,11.942166228802476
2021-06-27,23.0,15,0,0,0,0,0,0,1,6.4348732550345815
2021-06-26,22.25,15,0,0,0,0,0,1,0,10.125336528329601
2021-06-25,20.14,28,0,0,0,0,1,0,0,16.941413156901966
2021-06-24,15.55,20,0,0,0,1,0,0,0,15.900301634089535
2021-06-23,18.89,17,0,0,1,0,0,0,0,15.715778964172598
2021-06-22,21.6,21,0,1,0,0,0,0,0,14.558846497204035
2021-06-21,18.14,17,1,0,0,0,0,0,0,13.543795926816118
2021-06-20,16.25,12,0,0,0,0,0,0,1,7.913806286716126
2021-06-19,13.75,14,0,0,0,0,0,1,0,11.987696642298953
2021-06-18,15.7,26,0,0,0,0,1,0,0,17.914222439963602
2021-06-17,15.8,25,0,0,0,1,0,0,0,15.845526336619848
2021-06-16,16.04,32,0,0,1,0,0,0,0,16.340217355327027
2021-06-15,20.45,22,0,1,0,0,0,0,0,14.810812865564595
2021-06-14,23.25,14,1,0,0,0,0,0,0,12.424188846535719
2021-06-13,16.84,19,0,0,0,0,0,0,1,7.784536584687665
2021-06-12,13.45,16,0,0,0,0,0,1,0,12.053426999262577
2021-06-11,11.85,15,0,0,0,0,1,0,0,18.75776202099678
2021-06-10,10.4,15,0,0,0,1,0,0,0,17.028672761965083
2021-06-09,10.35,14,0,0,1,0,0,0,0,17.5869031257371
2021-06-08,9.4,13,0,1,0,0,0,0,0,17.231881013724752
2021-06-07,8.85,11,1,0,0,0,0,0,0,15.579245980789679
2021-06-06,10.65,8,0,0,0,0,0,0,1,9.14077295003711
2021-06-05,12.64,9,0,0,0,0,0,1,0,12.230898963064362
2021-06-04,21.0,19,0,0,0,0,1,0,0,16.752986133606242
2021-06-03,21.55,23,0,0,0,1,0,0,0,14.585694494817051
2021-06-02,21.05,22,0,0,1,0,0,0,0,15.242520394034504
2021-06-01,19.5,12,0,1,0,0,0,0,0,15.018958995949404
2021-05-31,17.14,14,1,0,0,0,0,0,0,13.762897116694864
2021-05-30,14.1,12,0,0,0,0,0,0,1,8.384873844955433
2021-05-29,12.15,16,0,0,0,0,0,1,0,12.338258546104948
2021-05-28,12.0,10,0,0,0,0,1,0,0,18.724896842514966
2021-05-27,13.75,16,0,0,0,1,0,0,0,16.29468377587128
2021-05-26,12.05,15,0,0,1,0,0,0,0,17.214431102943227
2021-05-25,9.15,14,0,1,0,0,0,0,0,17.286656311194438
2021-05-24,6.15,10,1,0,0,0,0,0,0,16.170819193462297
2021-05-23,6.2,6,0,0,0,0,0,0,1,10.115773244997534
2021-05-22,6.65,12,0,0,0,0,0,1,0,13.543315090438059
2021-05-21,5.7,15,0,0,0,0,1,0,0,20.105234338751075
2021-05-20,0.49,11,0,0,0,1,0,0,0,19.199965553663468
2021-05-19,4.15,9,0,0,1,0,0,0,0,18.945330502985332
2021-05-18,11.7,9,0,1,0,0,0,0,0,16.727948277003634
2021-05-17,18.75,11,1,0,0,0,0,0,0,13.410144200990082
2021-05-16,17.6,6,0,0,0,0,0,0,1,7.618019680379816
2021-05-15,13.0,7,0,0,0,0,0,1,0,12.152022534708014
2021-05-14,10.89,23,0,0,0,0,1,0,0,18.968099163280375
2021-05-13,11.65,7,0,0,0,1,0,0,0,16.75479627461665
2021-05-12,9.0,14,0,0,1,0,0,0,0,17.882689732073406
2021-05-11,8.25,11,0,1,0,0,0,0,0,17.48384738208531
2021-05-10,5.3,24,1,0,0,0,0,0,0,16.357055204859233
2021-05-09,1.65,4,0,0,0,0,0,0,1,11.112683658945835
2021-05-08,3.15,14,0,0,0,0,0,1,0,14.310169255013673
2021-05-07,11.15,8,0,0,0,0,1,0,0,18.9111328539119
2021-05-06,11.2,13,0,0,0,1,0,0,0,16.853391810062085
2021-05-05,8.0,16,0,0,1,0,0,0,0,18.101790921952155
2021-05-04,7.45,12,0,1,0,0,0,0,0,17.659128333988306
2021-05-03,5.9,19,1,0,0,0,0,0,0,16.225594490931982
2021-05-02,5.9,8,0,0,0,0,0,0,1,10.18150360196116
2021-05-01,6.95,12,0,0,0,0,0,1,0,13.477584733474433
2021-04-30,14.45,18,0,0,0,0,1,0,0,18.188098927312037
2021-04-29,11.05,18,0,0,0,1,0,0,0,16.8862569885439
2021-04-28,8.3,27,0,0,1,0,0,0,0,18.03606056498853
2021-04-27,8.3,15,0,1,0,0,0,0,0,17.472892322591374
2021-04-26,5.6,7,1,0,0,0,0,0,0,16.29132484789561
2021-04-25,1.45,3,0,0,0,0,0,0,1,11.156503896921585
2021-04-24,0.29,9,0,0,0,0,0,1,0,14.936798658066891
2021-04-23,-1.05,8,0,0,0,0,1,0,0,21.584167370432617
2021-04-22,2.0,15,0,0,0,1,0,0,0,18.86912275694656
2021-04-21,9.0,20,0,0,1,0,0,0,0,17.882689732073406
2021-04-20,3.2,14,0,1,0,0,0,0,0,18.590308390972982
2021-04-19,1.35,8,1,0,0,0,0,0,0,17.222504904880285
2021-04-18,4.09,9,0,0,0,0,0,0,1,10.57807675564169
2021-04-17,10.0,7,0,0,0,0,0,1,0,12.809326104344255
2021-04-16,7.65,14,0,0,0,0,1,0,0,19.677987018487517
2021-04-15,5.8,24,0,0,0,1,0,0,0,18.03653823540732
2021-04-14,4.2,12,0,0,1,0,0,0,0,18.934375443491394
2021-04-13,-1.04,14,0,1,0,0,0,0,0,19.51929743605887
2021-04-12,-0.2,18,1,0,0,0,0,0,0,17.56211174919234
2021-04-11,0.39,10,0,0,0,0,0,0,1,11.388751158193056
2021-04-10,1.6,8,0,0,0,0,0,1,0,14.64977609932573
2021-04-09,3.25,14,0,0,0,0,1,0,0,20.642032253954003
2021-04-08,1.75,14,0,0,0,1,0,0,0,18.92389805441625
2021-04-07,8.1,7,0,0,1,0,0,0,0,18.07988080296428
2021-04-06,7.5,15,0,1,0,0,0,0,0,17.648173274494372
2021-04-05,3.95,15,1,0,0,0,0,0,0,16.65284181119554
2021-04-04,1.9,8,0,0,0,0,0,0,1,11.057908361476148
2021-04-03,6.8,12,0,0,0,0,0,1,0,13.510449911956247
2021-04-02,4.8,14,0,0,0,0,1,0,0,20.30242540964195
2021-04-01,7.94,16,0,0,0,1,0,0,0,17.567661689066803
2021-03-31,3.95,14,0,0,1,0,0,0,0,18.98915074096108
2021-03-30,-2.65,17,0,1,0,0,0,0,0,19.872050351763654
2021-03-29,-6.2,15,1,0,0,0,0,0,0,18.876718888464826
2021-03-28,6.15,4,0,0,0,0,0,0,1,10.126728304491472
2021-03-27,4.95,7,0,0,0,0,0,1,0,13.915787113231929
2021-03-26,-1.29,8,0,0,0,0,1,0,0,21.63675165600352
2021-03-25,-3.9,27,0,0,0,1,0,0,0,20.16181977723117
2021-03-24,3.65,8,0,0,1,0,0,0,0,19.054881097924707
2021-03-23,0.15,7,0,1,0,0,0,0,0,19.25856702010316
2021-03-22,2.25,13,1,0,0,0,0,0,0,17.02531383398941
2021-03-21,2.15,5,0,0,0,0,0,0,1,11.00313306400646
2021-03-20,4.09,10,0,0,0,0,0,1,0,14.10421413652765
2021-03-19,8.4,18,0,0,0,0,1,0,0,19.513661126078457
2021-03-18,6.85,16,0,0,0,1,0,0,0,17.806481986034637
2021-03-17,2.99,28,0,0,1,0,0,0,0,19.19948788324468
2021-03-16,1.4,16,0,1,0,0,0,0,0,18.98469053275473
2021-03-15,2.99,14,1,0,0,0,0,0,0,16.86317895347914
2021-03-14,7.9,8,0,0,0,0,0,0,1,9.743301222203664
2021-03-13,5.9,12,0,0,0,0,0,1,0,13.707640982847119
2021-03-12,5.9,11,0,0,0,0,1,0,0,20.061414100775323
2021-03-11,-4.2,14,0,0,0,1,0,0,0,20.227550134194793
2021-03-10,-6.2,15,0,0,1,0,0,0,0,21.213027818230366
2021-03-09,0.6,9,0,1,0,0,0,0,0,19.159971484657728
